 FIPS , Name , Race ,Total,Employed,Unemployed,NILF
 12103c , Pinellas County (part) , All other non-Hispanic ,11155,8052,,2585
 12103c , Pinellas County (part) , Latino ,53216,40182,2646,10388
 12103c , Pinellas County (part) , Non-Hispanic American Indian ,1745,1215,,
 12103c , Pinellas County (part) , Non-Hispanic Asian ,21792,16517,,5044
 12103c , Pinellas County (part) , Non-Hispanic black ,58339,35556,6104,16679
 12103c , Pinellas County (part) , Non-Hispanic white ,412151,303221,16751,92179
 12103c , Pinellas County (part) , Total ,558398,404743,26250,127405
 12105c , Polk County (part) , All other non-Hispanic ,5491,2693,,2043
 12105c , Polk County (part) , Latino ,78872,51050,4992,22830
 12105c , Polk County (part) , Non-Hispanic American Indian ,974,789,,
 12105c , Polk County (part) , Non-Hispanic Asian ,8222,5887,,2127
 12105c , Polk County (part) , Non-Hispanic black ,54721,36546,4230,13945
 12105c , Polk County (part) , Non-Hispanic white ,218187,148725,11008,58454
 12105c , Polk County (part) , Total ,366467,245690,21193,99584
 13067c , Cobb County (part) , All other non-Hispanic ,11718,9407,,1968
 13067c , Cobb County (part) , Latino ,56332,41597,2795,11940
 13067c , Cobb County (part) , Non-Hispanic American Indian ,,,,
 13067c , Cobb County (part) , Non-Hispanic Asian ,25927,19266,,6379
 13067c , Cobb County (part) , Non-Hispanic black ,127666,101260,8442,17964
 13067c , Cobb County (part) , Non-Hispanic white ,248082,193669,10339,44074
 13067c , Cobb County (part) , Total ,470173,365543,22252,82378
 13089c , DeKalb County (part) , All other non-Hispanic ,7959,5871,,1785
 13089c , DeKalb County (part) , Latino ,36151,27427,1986,6738
 13089c , DeKalb County (part) , Non-Hispanic American Indian ,,,,
 13089c , DeKalb County (part) , Non-Hispanic Asian ,29304,20224,,8525
 13089c , DeKalb County (part) , Non-Hispanic black ,249818,173419,22584,53815
 13089c , DeKalb County (part) , Non-Hispanic white ,127103,104294,4340,18469
 13089c , DeKalb County (part) , Total ,451687,332223,29837,89627
 13121c , Fulton County (part) , All other non-Hispanic ,7935,5429,,1227
 13121c , Fulton County (part) , Latino ,45267,33500,3855,7912
 13121c , Fulton County (part) , Non-Hispanic American Indian ,1848,1019,,
 13121c , Fulton County (part) , Non-Hispanic Asian ,46764,34593,1945,10226
 13121c , Fulton County (part) , Non-Hispanic black ,277855,193138,20677,64040
 13121c , Fulton County (part) , Non-Hispanic white ,281306,228180,7305,45821
 13121c , Fulton County (part) , Total ,660975,495859,35061,130055
 13135c , Gwinnett County (part) , All other non-Hispanic ,7386,4774,,1795
 13135c , Gwinnett County (part) , Latino ,111158,81662,3838,25658
 13135c , Gwinnett County (part) , Non-Hispanic American Indian ,,,,
 13135c , Gwinnett County (part) , Non-Hispanic Asian ,69581,51625,2198,15758
 13135c , Gwinnett County (part) , Non-Hispanic black ,151971,111737,10655,29579
 13135c , Gwinnett County (part) , Non-Hispanic white ,224860,169176,8261,47423
 13135c , Gwinnett County (part) , Total ,566478,419888,25769,120821
 15003c , Honolulu County (part) , All other non-Hispanic ,111154,84689,4228,22237
 15003c , Honolulu County (part) , Latino ,49430,36465,2030,10935
 15003c , Honolulu County (part) , Non-Hispanic American Indian ,,,,
 15003c , Honolulu County (part) , Non-Hispanic Asian ,282390,221221,8883,52286
 15003c , Honolulu County (part) , Non-Hispanic black ,12688,9476,,2265
 15003c , Honolulu County (part) , Non-Hispanic white ,105049,79032,3254,22763
 15003c , Honolulu County (part) , Total ,560849,430883,19342,110624
 17031a ," Chicago city, Illinois ", All other non-Hispanic ,26459,19951,1400,5108
 17031a ," Chicago city, Illinois ", Latino ,486731,335479,31063,120189
 17031a ," Chicago city, Illinois ", Non-Hispanic American Indian ,3101,1964,,
 17031a ," Chicago city, Illinois ", Non-Hispanic Asian ,119459,84774,7221,27464
 17031a ," Chicago city, Illinois ", Non-Hispanic black ,502537,280962,64020,157555
 17031a ," Chicago city, Illinois ", Non-Hispanic white ,593894,494987,20502,78405
 17031a ," Chicago city, Illinois ", Total ,1732181,1218117,124255,389809
 17031b , Remainder - Cook County (part) , All other non-Hispanic ,23552,16574,,5435
 17031b , Remainder - Cook County (part) , Latino ,331388,241077,15425,74886
 17031b , Remainder - Cook County (part) , Non-Hispanic American Indian ,,,,
 17031b , Remainder - Cook County (part) , Non-Hispanic Asian ,133186,95538,4587,33061
 17031b , Remainder - Cook County (part) , Non-Hispanic black ,243206,154424,29095,59687
 17031b , Remainder - Cook County (part) , Non-Hispanic white ,837945,638891,33194,165860
 17031b , Remainder - Cook County (part) , Total ,1569994,1147100,83844,339050
 17043c , DuPage County (part) , All other non-Hispanic ,8928,6957,,1443
 17043c , DuPage County (part) , Latino ,79382,64768,2663,11951
 17043c , DuPage County (part) , Non-Hispanic American Indian ,,,,
 17043c , DuPage County (part) , Non-Hispanic Asian ,68108,49369,3415,15324
 17043c , DuPage County (part) , Non-Hispanic black ,29425,23311,2477,3637
 17043c , DuPage County (part) , Non-Hispanic white ,393528,306584,15105,71839
 17043c , DuPage County (part) , Total ,579731,451349,24188,104194
 17089c , Kane County (part) , All other non-Hispanic ,3233,2073,,
 17089c , Kane County (part) , Latino ,98928,74598,5601,18729
 17089c , Kane County (part) , Non-Hispanic American Indian ,,,,
 17089c , Kane County (part) , Non-Hispanic Asian ,12439,9689,,2076
 17089c , Kane County (part) , Non-Hispanic black ,16922,10036,1750,5136
 17089c , Kane County (part) , Non-Hispanic white ,188449,150973,7327,30149
 17089c , Kane County (part) , Total ,320003,247401,15651,56951
 17097c , Lake County (part) , All other non-Hispanic ,5981,4608,,840
 17097c , Lake County (part) , Latino ,87783,66496,4205,17082
 17097c , Lake County (part) , Non-Hispanic American Indian ,,,,
 17097c , Lake County (part) , Non-Hispanic Asian ,31566,24748,1102,5716
 17097c , Lake County (part) , Non-Hispanic black ,27295,20471,2562,4262
 17097c , Lake County (part) , Non-Hispanic white ,268598,207731,10354,50513
 17097c , Lake County (part) , Total ,421425,324256,18756,78413
 17197c , Will County (part) , All other non-Hispanic ,4436,3613,,
 17197c , Will County (part) , Latino ,67471,51263,3610,12598
 17197c , Will County (part) , Non-Hispanic American Indian ,,,,
 17197c , Will County (part) , Non-Hispanic Asian ,22445,17548,,4615
 17197c , Will County (part) , Non-Hispanic black ,49049,34874,2745,11430
 17197c , Will County (part) , Non-Hispanic white ,275940,217042,10596,48302
 17197c , Will County (part) , Total ,419982,324981,17442,77559
 18097a ," Indianapolis city (balance), Indiana ", All other non-Hispanic ,11278,8384,,1821
 18097a ," Indianapolis city (balance), Indiana ", Latino ,51914,38712,2466,10736
 18097a ," Indianapolis city (balance), Indiana ", Non-Hispanic American Indian ,,,,
