 FIPS , Name , Race ,Total,Employed,Unemployed,NILF
 34031c , Passaic County (part) , Non-Hispanic American Indian ,,,,
 34031c , Passaic County (part) , Non-Hispanic Asian ,18312,13112,,4666
 34031c , Passaic County (part) , Non-Hispanic black ,33920,20040,2330,11550
 34031c , Passaic County (part) , Non-Hispanic white ,129182,97711,3439,28032
 34031c , Passaic County (part) , Total ,311340,218735,9485,83120
 34039c , Union County (part) , All other non-Hispanic ,7405,5522,,1656
 34039c , Union County (part) , Latino ,109470,83574,6820,19076
 34039c , Union County (part) , Non-Hispanic American Indian ,,,,
 34039c , Union County (part) , Non-Hispanic Asian ,17228,13299,,3488
 34039c , Union County (part) , Non-Hispanic black ,74318,55719,6575,12024
 34039c , Union County (part) , Non-Hispanic white ,137468,101594,6756,29118
 34039c , Union County (part) , Total ,345950,259769,20819,65362
 35001a ," Albuquerque city, New Mexico ", All other non-Hispanic ,7975,5152,,2170
 35001a ," Albuquerque city, New Mexico ", Latino ,198153,135114,12081,50958
 35001a ," Albuquerque city, New Mexico ", Non-Hispanic American Indian ,15916,9559,,4680
 35001a ," Albuquerque city, New Mexico ", Non-Hispanic Asian ,11041,7798,,2906
 35001a ," Albuquerque city, New Mexico ", Non-Hispanic black ,9794,6500,,2915
 35001a ," Albuquerque city, New Mexico ", Non-Hispanic white ,154986,112746,5926,36314
 35001a ," Albuquerque city, New Mexico ", Total ,397865,276869,21053,99943
 36005a ," New York city, New York ", All other non-Hispanic ,15030,8289,1903,4838
 36005a ," New York city, New York ", Latino ,500653,315377,33754,151522
 36005a ," New York city, New York ", Non-Hispanic American Indian ,,,,
 36005a ," New York city, New York ", Non-Hispanic Asian ,37108,23467,1562,12079
 36005a ," New York city, New York ", Non-Hispanic black ,262321,170022,22680,69619
 36005a ," New York city, New York ", Non-Hispanic white ,75987,53380,4032,18575
 36005a ," New York city, New York ", Total ,893865,571328,64563,257974
 36029c , Erie County (part) , All other non-Hispanic ,6171,3437,,2152
 36029c , Erie County (part) , Latino ,25584,16548,1166,7870
 36029c , Erie County (part) , Non-Hispanic American Indian ,3067,1417,,1501
 36029c , Erie County (part) , Non-Hispanic Asian ,20105,10593,,8636
 36029c , Erie County (part) , Non-Hispanic black ,71947,44265,5318,22364
 36029c , Erie County (part) , Non-Hispanic white ,430268,340714,13467,76087
 36029c , Erie County (part) , Total ,557142,416974,21558,118610
 36047a ," New York city, New York ", All other non-Hispanic ,32808,25737,2555,4516
 36047a ," New York city, New York ", Latino ,321538,210808,20471,90259
 36047a ," New York city, New York ", Non-Hispanic American Indian ,3100,,,1786
 36047a ," New York city, New York ", Non-Hispanic Asian ,217907,148745,13061,56101
 36047a ," New York city, New York ", Non-Hispanic black ,505798,343423,35225,127150
 36047a ," New York city, New York ", Non-Hispanic white ,591330,442493,25861,122976
 36047a ," New York city, New York ", Total ,1672481,1172407,97286,402788
 36055c , Monroe County (part) , All other non-Hispanic ,5170,3447,,
 36055c , Monroe County (part) , Latino ,35401,22260,3113,10028
 36055c , Monroe County (part) , Non-Hispanic American Indian ,1362,,,
 36055c , Monroe County (part) , Non-Hispanic Asian ,18514,12282,,5671
 36055c , Monroe County (part) , Non-Hispanic black ,64729,38699,8859,17171
 36055c , Monroe County (part) , Non-Hispanic white ,325490,259415,8744,57331
 36055c , Monroe County (part) , Total ,450666,336778,22240,91648
 36059c , Nassau County (part) , All other non-Hispanic ,14462,11304,,2634
 36059c , Nassau County (part) , Latino ,141646,106409,7256,27981
 36059c , Nassau County (part) , Non-Hispanic American Indian ,,,,
 36059c , Nassau County (part) , Non-Hispanic Asian ,78966,58443,2644,17879
 36059c , Nassau County (part) , Non-Hispanic black ,96025,69767,6486,19772
 36059c , Nassau County (part) , Non-Hispanic white ,492318,374444,17470,100404
 36059c , Nassau County (part) , Total ,824374,620861,34380,169133
 36061a ," New York city, New York ", All other non-Hispanic ,27229,21970,,4037
 36061a ," New York city, New York ", Latino ,274202,186695,20399,67108
 36061a ," New York city, New York ", Non-Hispanic American Indian ,,,,
 36061a ," New York city, New York ", Non-Hispanic Asian ,150172,108320,5880,35972
 36061a ," New York city, New York ", Non-Hispanic black ,126735,79003,11917,35815
 36061a ," New York city, New York ", Non-Hispanic white ,533940,455659,14062,64219
 36061a ," New York city, New York ", Total ,1113440,852471,53480,207489
 36081a ," New York city, New York ", All other non-Hispanic ,63028,43819,4083,15126
 36081a ," New York city, New York ", Latino ,481545,346199,23115,112231
 36081a ," New York city, New York ", Non-Hispanic American Indian ,3424,2573,,
 36081a ," New York city, New York ", Non-Hispanic Asian ,436051,296542,19098,120411
 36081a ," New York city, New York ", Non-Hispanic black ,284313,199565,22755,61993
 36081a ," New York city, New York ", Non-Hispanic white ,547224,400381,23457,123386
 36081a ," New York city, New York ", Total ,1815585,1289079,92739,433767
 36103c , Suffolk County (part) , All other non-Hispanic ,10113,7685,,1906
 36103c , Suffolk County (part) , Latino ,172737,127290,6624,38823
 36103c , Suffolk County (part) , Non-Hispanic American Indian ,1415,,,
 36103c , Suffolk County (part) , Non-Hispanic Asian ,38926,27715,,10323
 36103c , Suffolk County (part) , Non-Hispanic black ,64116,47035,4017,13064
 36103c , Suffolk County (part) , Non-Hispanic white ,630417,483700,23171,123546
 36103c , Suffolk County (part) , Total ,917724,694398,35222,188104
 36119c , Westchester County (part) , All other non-Hispanic ,11964,8230,,2467
 36119c , Westchester County (part) , Latino ,147633,111088,7546,28999
 36119c , Westchester County (part) , Non-Hispanic American Indian ,1398,,,
 36119c , Westchester County (part) , Non-Hispanic Asian ,38216,27385,1821,9010
 36119c , Westchester County (part) , Non-Hispanic black ,78806,57666,5681,15459
 36119c , Westchester County (part) , Non-Hispanic white ,303031,229124,10943,62964
 36119c , Westchester County (part) , Total ,581048,434501,27258,119289
 37119c , Mecklenburg County (part) , All other non-Hispanic ,14053,11144,,1847
 37119c , Mecklenburg County (part) , Latino ,80550,57852,5374,17324
 37119c , Mecklenburg County (part) , Non-Hispanic American Indian ,1324,,,
 37119c , Mecklenburg County (part) , Non-Hispanic Asian ,40332,28917,2561,8854
 37119c , Mecklenburg County (part) , Non-Hispanic black ,203625,148312,15856,39457
 37119c , Mecklenburg County (part) , Non-Hispanic white ,324915,260097,11640,53178
 37119c , Mecklenburg County (part) , Total ,664799,507190,36493,121116
 37183c , Wake County (part) , All other non-Hispanic ,10995,8864,,1623
 37183c , Wake County (part) , Latino ,60252,44666,2637,12949
 37183c , Wake County (part) , Non-Hispanic American Indian ,1390,,,
 37183c , Wake County (part) , Non-Hispanic Asian ,44519,32633,,11324
 37183c , Wake County (part) , Non-Hispanic black ,131833,96974,10704,24155
 37183c , Wake County (part) , Non-Hispanic white ,396209,317215,10736,68258
 37183c , Wake County (part) , Total ,645198,501499,25147,118552
 39035c , Cuyahoga County (part) , All other non-Hispanic ,14234,8917,,3846
 39035c , Cuyahoga County (part) , Latino ,42107,26407,4135,11565
 39035c , Cuyahoga County (part) , Non-Hispanic American Indian ,814,,,
 39035c , Cuyahoga County (part) , Non-Hispanic Asian ,25121,18368,,5730
 39035c , Cuyahoga County (part) , Non-Hispanic black ,218509,137173,27860,53476
 39035c , Cuyahoga County (part) , Non-Hispanic white ,458225,348010,19005,91210
 39035c , Cuyahoga County (part) , Total ,759010,539432,53644,165934
 39049c , Franklin County (part) , All other non-Hispanic ,23785,17154,1380,5251
 39049c , Franklin County (part) , Latino ,36107,27329,2219,6559
 39049c , Franklin County (part) , Non-Hispanic American Indian ,,,,
 39049c , Franklin County (part) , Non-Hispanic Asian ,39241,26589,,11931
 39049c , Franklin County (part) , Non-Hispanic black ,165479,116170,11903,37406
 39049c , Franklin County (part) , Non-Hispanic white ,528987,423858,19341,85788
 39049c , Franklin County (part) , Total ,794656,611782,35564,147310
 39061c , Hamilton County (part) , All other non-Hispanic ,9147,6423,1254,1470
 39061c , Hamilton County (part) , Latino ,12431,9422,,2429
 39061c , Hamilton County (part) , Non-Hispanic American Indian ,,,,
 39061c , Hamilton County (part) , Non-Hispanic Asian ,13256,9285,,3474
 39061c , Hamilton County (part) , Non-Hispanic black ,124292,84532,10941,28819
 39061c , Hamilton County (part) , Non-Hispanic white ,331973,256911,9859,65203
 39061c , Hamilton County (part) , Total ,491613,367050,23131,101432
 39113c , Montgomery County (part) , All other non-Hispanic ,7276,5029,,1609
 39113c , Montgomery County (part) , Latino ,7314,5103,,1552
 39113c , Montgomery County (part) , Non-Hispanic American Indian ,,,,
 39113c , Montgomery County (part) , Non-Hispanic Asian ,7142,4775,,1659
 39113c , Montgomery County (part) , Non-Hispanic black ,62791,39296,5753,17742
 39113c , Montgomery County (part) , Non-Hispanic white ,221453,160148,10230,51075
 39113c , Montgomery County (part) , Total ,306462,214628,17988,73846
 39153c , Summit County (part) , All other non-Hispanic ,7197,4798,,2399
 39153c , Summit County (part) , Latino ,5686,3798,,
 39153c , Summit County (part) , Non-Hispanic American Indian ,,,,
 39153c , Summit County (part) , Non-Hispanic Asian ,9749,7028,,2294
 39153c , Summit County (part) , Non-Hispanic black ,46302,27118,5073,14111
 39153c , Summit County (part) , Non-Hispanic white ,260378,200716,9059,50603
 39153c , Summit County (part) , Total ,329552,243698,15055,70799
 40109c , Oklahoma County (part) , All other non-Hispanic ,22294,15622,,5394
 40109c , Oklahoma County (part) , Latino ,71684,52495,2459,16730
 40109c , Oklahoma County (part) , Non-Hispanic American Indian ,11358,7188,,2765
 40109c , Oklahoma County (part) , Non-Hispanic Asian ,19436,14973,,3847
 40109c , Oklahoma County (part) , Non-Hispanic black ,68291,46131,4000,18160
 40109c , Oklahoma County (part) , Non-Hispanic white ,271830,199859,8384,63587
 40109c , Oklahoma County (part) , Total ,464893,336268,18142,110483
 4013a ," Phoenix city, Arizona ", All other non-Hispanic ,16288,11669,,3423
 4013a ," Phoenix city, Arizona ", Latino ,393582,265032,17786,110764
 4013a ," Phoenix city, Arizona ", Non-Hispanic American Indian ,14707,10450,,3005
 4013a ," Phoenix city, Arizona ", Non-Hispanic Asian ,30123,20942,,7965
 4013a ," Phoenix city, Arizona ", Non-Hispanic black ,64745,40950,4688,19107
 4013a ," Phoenix city, Arizona ", Non-Hispanic white ,393372,291531,15693,86148
 4013a ," Phoenix city, Arizona ", Total ,912817,640574,41831,230412
 4013b , Remainder - Maricopa County (part) , All other non-Hispanic ,27606,20015,1656,5935
 4013b , Remainder - Maricopa County (part) , Latino ,356313,264580,12617,79116
 4013b , Remainder - Maricopa County (part) , Non-Hispanic American Indian ,26710,17632,1846,7232
 4013b , Remainder - Maricopa County (part) , Non-Hispanic Asian ,89982,61536,2482,25964
 4013b , Remainder - Maricopa County (part) , Non-Hispanic black ,70221,54288,3831,12102
 4013b , Remainder - Maricopa County (part) , Non-Hispanic white ,1017976,763575,37643,216758
 4013b , Remainder - Maricopa County (part) , Total ,1588808,1181626,60075,347107
 40143c , Tulsa County (part) , All other non-Hispanic ,26521,20255,2270,3996
 40143c , Tulsa County (part) , Latino ,43945,31770,2225,9950
 40143c , Tulsa County (part) , Non-Hispanic American Indian ,22325,15537,,6249
 40143c , Tulsa County (part) , Non-Hispanic Asian ,11802,8057,,3580
 40143c , Tulsa County (part) , Non-Hispanic black ,41456,26767,3143,11546
 40143c , Tulsa County (part) , Non-Hispanic white ,277396,210642,9284,57470
 40143c , Tulsa County (part) , Total ,423445,313028,17626,92791
 4019c , Pima County (part) , All other non-Hispanic ,9910,5021,2314,2575
 4019c , Pima County (part) , Latino ,215735,150209,15655,49871
 4019c , Pima County (part) , Non-Hispanic American Indian ,15768,8801,3061,3906
 4019c , Pima County (part) , Non-Hispanic Asian ,19659,12783,,6278
 4019c , Pima County (part) , Non-Hispanic black ,19993,12853,1609,5531
 4019c , Pima County (part) , Non-Hispanic white ,295557,202744,12945,79868
 4019c , Pima County (part) , Total ,576622,392411,36182,148029
 41051a ," Portland city, Oregon ", All other non-Hispanic ,18860,13024,1996,3840
 41051a ," Portland city, Oregon ", Latino ,35834,29251,2363,4220
 41051a ," Portland city, Oregon ", Non-Hispanic American Indian ,2107,,,
 41051a ," Portland city, Oregon ", Non-Hispanic Asian ,34592,25431,1326,7835
 41051a ," Portland city, Oregon ", Non-Hispanic black ,20191,12856,2442,4893
 41051a ," Portland city, Oregon ", Non-Hispanic white ,312059,245970,13660,52429
 41051a ," Portland city, Oregon ", Total ,423643,327865,22070,73708
 41067c , Washington County (part) , All other non-Hispanic ,11896,7896,,2869
 41067c , Washington County (part) , Latino ,55542,43374,2346,9822
 41067c , Washington County (part) , Non-Hispanic American Indian ,,,,
 41067c , Washington County (part) , Non-Hispanic Asian ,40670,29840,2079,8751
 41067c , Washington County (part) , Non-Hispanic black ,6829,4862,,
 41067c , Washington County (part) , Non-Hispanic white ,244581,186496,10704,47381
 41067c , Washington County (part) , Total ,360502,273000,17510,69992
 42003c , Allegheny County (part) , All other non-Hispanic ,13629,9397,,3622
 42003c , Allegheny County (part) , Latino ,15056,9895,,4748
 42003c , Allegheny County (part) , Non-Hispanic American Indian ,904,,,
 42003c , Allegheny County (part) , Non-Hispanic Asian ,29955,19160,,10233
 42003c , Allegheny County (part) , Non-Hispanic black ,93066,59561,8684,24821
 42003c , Allegheny County (part) , Non-Hispanic white ,602708,471693,22371,108644
 42003c , Allegheny County (part) , Total ,755318,570075,32806,152437
 42017c , Bucks County (part) , All other non-Hispanic ,3503,2368,,
 42017c , Bucks County (part) , Latino ,18118,12775,,4563
 42017c , Bucks County (part) , Non-Hispanic American Indian ,,,,
 42017c , Bucks County (part) , Non-Hispanic Asian ,19416,14601,,4038
 42017c , Bucks County (part) , Non-Hispanic black ,14275,10876,,2211
 42017c , Bucks County (part) , Non-Hispanic white ,324040,252558,14893,56589
 42017c , Bucks County (part) , Total ,379806,293382,17751,68673
 42045c , Delaware County (part) , All other non-Hispanic ,7614,5521,,1005
 42045c , Delaware County (part) , Latino ,12067,9048,,2616
 42045c , Delaware County (part) , Non-Hispanic American Indian ,,,,
 42045c , Delaware County (part) , Non-Hispanic Asian ,19250,14833,,3477
 42045c , Delaware County (part) , Non-Hispanic black ,68496,48460,4571,15465
 42045c , Delaware County (part) , Non-Hispanic white ,226957,175804,8944,42209
 42045c , Delaware County (part) , Total ,334673,253802,16099,64772
 42071c , Lancaster County (part) , All other non-Hispanic ,3478,2568,,
 42071c , Lancaster County (part) , Latino ,31348,20898,2861,7589
 42071c , Lancaster County (part) , Non-Hispanic Asian ,7791,5688,,
 42071c , Lancaster County (part) , Non-Hispanic black ,9718,6106,,3191
 42071c , Lancaster County (part) , Non-Hispanic white ,257856,199417,8275,50164
 42071c , Lancaster County (part) , Total ,310191,234677,12096,63418
 42091c , Montgomery County (part) , All other non-Hispanic ,7579,5307,,1469
 42091c , Montgomery County (part) , Latino ,23234,18573,,2838
 42091c , Montgomery County (part) , Non-Hispanic American Indian ,,,,
 42091c , Montgomery County (part) , Non-Hispanic Asian ,40077,28466,2479,9132
 42091c , Montgomery County (part) , Non-Hispanic black ,41920,33505,1884,6531
 42091c , Montgomery County (part) , Non-Hispanic white ,374916,294943,15319,64654
 42091c , Montgomery County (part) , Total ,488385,381277,22397,84711
 42101a ," Philadelphia city, Pennsylvania ", All other non-Hispanic ,23597,16038,1931,5628
 42101a ," Philadelphia city, Pennsylvania ", Latino ,128924,74313,10204,44407
 42101a ," Philadelphia city, Pennsylvania ", Non-Hispanic American Indian ,,,,
 42101a ," Philadelphia city, Pennsylvania ", Non-Hispanic Asian ,77188,50589,4544,22055
 42101a ," Philadelphia city, Pennsylvania ", Non-Hispanic black ,392261,225001,39444,127816
 42101a ," Philadelphia city, Pennsylvania ", Non-Hispanic white ,359474,264250,14638,80586
 42101a ," Philadelphia city, Pennsylvania ", Total ,982761,630771,70761,281229
 44007c , Providence County (part) , All other non-Hispanic ,14912,10252,1183,3477
 44007c , Providence County (part) , Latino ,81848,52922,5445,23481
 44007c , Providence County (part) , Non-Hispanic American Indian ,1254,,,
 44007c , Providence County (part) , Non-Hispanic Asian ,17582,9962,,6915
 44007c , Providence County (part) , Non-Hispanic black ,29824,22824,3089,3911
 44007c , Providence County (part) , Non-Hispanic white ,243909,185550,7464,50895
 44007c , Providence County (part) , Total ,389329,282313,17970,89046
 47037a ," Nashville-Davidson metropolitan government (balance), Tennessee ", All other non-Hispanic ,9215,7484,,1418
 47037a ," Nashville-Davidson metropolitan government (balance), Tennessee ", Latino ,40348,33219,937,6192
 47037a ," Nashville-Davidson metropolitan government (balance), Tennessee ", Non-Hispanic American Indian ,2359,,,
 47037a ," Nashville-Davidson metropolitan government (balance), Tennessee ", Non-Hispanic Asian ,14844,10656,,3553
 47037a ," Nashville-Davidson metropolitan government (balance), Tennessee ", Non-Hispanic black ,117655,84930,7704,25021
 47037a ," Nashville-Davidson metropolitan government (balance), Tennessee ", Non-Hispanic white ,256074,209603,4933,41538
 47037a ," Nashville-Davidson metropolitan government (balance), Tennessee ", Total ,440495,347166,14522,78807
 47157c , Shelby County (part) , All other non-Hispanic ,9731,6798,,2643
 47157c , Shelby County (part) , Latino ,31754,21850,2010,7894
 47157c , Shelby County (part) , Non-Hispanic American Indian ,,,,
 47157c , Shelby County (part) , Non-Hispanic Asian ,16071,12024,,3817
 47157c , Shelby County (part) , Non-Hispanic black ,303695,204066,27033,72596
 47157c , Shelby County (part) , Non-Hispanic white ,210850,158660,7006,45184
 47157c , Shelby County (part) , Total ,572558,403574,36569,132415
 48029c , Bexar County (part) , All other non-Hispanic ,16980,12929,,3381
 48029c , Bexar County (part) , Latino ,680882,471946,29434,179502
 48029c , Bexar County (part) , Non-Hispanic American Indian ,1320,,,
 48029c , Bexar County (part) , Non-Hispanic Asian ,36604,26173,,9604
 48029c , Bexar County (part) , Non-Hispanic black ,85193,58372,4779,22042
 48029c , Bexar County (part) , Non-Hispanic white ,330355,242362,11490,76503
 48029c , Bexar County (part) , Total ,1151334,812691,47366,291277
 48085c , Collin County (part) , All other non-Hispanic ,8054,5781,,1896
 48085c , Collin County (part) , Latino ,83476,63724,2150,17602
 48085c , Collin County (part) , Non-Hispanic American Indian ,2018,1230,,
 48085c , Collin County (part) , Non-Hispanic Asian ,82873,61186,1905,19782
 48085c , Collin County (part) , Non-Hispanic black ,55710,44583,2306,8821
 48085c , Collin County (part) , Non-Hispanic white ,341048,268902,10395,61751
 48085c , Collin County (part) , Total ,573179,445406,17133,110640
 48113c , Dallas County (part) , All other non-Hispanic ,26056,19859,943,5254
 48113c , Dallas County (part) , Latino ,604680,447192,21831,135657
 48113c , Dallas County (part) , Non-Hispanic American Indian ,2219,1556,,
 48113c , Dallas County (part) , Non-Hispanic Asian ,104913,75099,5019,24795
 48113c , Dallas County (part) , Non-Hispanic black ,357243,251030,22007,84206
 48113c , Dallas County (part) , Non-Hispanic white ,500145,392652,13763,93730
 48113c , Dallas County (part) , Total ,1595256,1187388,63595,344273
 48121c , Denton County (part) , All other non-Hispanic ,8894,7268,,1018
 48121c , Denton County (part) , Latino ,89483,67507,3728,18248
 48121c , Denton County (part) , Non-Hispanic American Indian ,1190,834,,
 48121c , Denton County (part) , Non-Hispanic Asian ,41745,30837,955,9953
 48121c , Denton County (part) , Non-Hispanic black ,50346,41108,2334,6904
 48121c , Denton County (part) , Non-Hispanic white ,307511,247298,11150,49063
 48121c , Denton County (part) , Total ,499169,394852,18798,85519
 48141a ," El Paso city, Texas ", All other non-Hispanic ,2746,1606,,
 48141a ," El Paso city, Texas ", Latino ,316950,217705,13568,85677
 48141a ," El Paso city, Texas ", Non-Hispanic American Indian ,673,324,,
 48141a ," El Paso city, Texas ", Non-Hispanic Asian ,6403,4407,,1776
 48141a ," El Paso city, Texas ", Non-Hispanic black ,13792,10258,,2867
 48141a ," El Paso city, Texas ", Non-Hispanic white ,51635,34884,3076,13675
 48141a ," El Paso city, Texas ", Total ,392199,269184,17722,105293
 48157c , Fort Bend County (part) , All other non-Hispanic ,4953,3604,,1210
 48157c , Fort Bend County (part) , Latino ,103843,78220,3378,22245
 48157c , Fort Bend County (part) , Non-Hispanic Asian ,88277,62516,2072,23689
 48157c , Fort Bend County (part) , Non-Hispanic black ,91530,69096,5256,17178
 48157c , Fort Bend County (part) , Non-Hispanic white ,151892,114837,3557,33498
 48157c , Fort Bend County (part) , Total ,440495,328273,14402,97820
 48201c , Harris County (part) , All other non-Hispanic ,37565,26802,2578,8185
 48201c , Harris County (part) , Latino ,1164880,860052,43694,261134
 48201c , Harris County (part) , Non-Hispanic American Indian ,4479,3405,,
 48201c , Harris County (part) , Non-Hispanic Asian ,213473,148786,7952,56735
 48201c , Harris County (part) , Non-Hispanic black ,532850,380082,37572,115196
 48201c , Harris County (part) , Non-Hispanic white ,898577,673353,34451,190773
 48201c , Harris County (part) , Total ,2851824,2092480,126247,633097
 48215c , Hidalgo County (part) , All other non-Hispanic ,,,,
 48215c , Hidalgo County (part) , Latino ,428927,265086,26262,137579
 48215c , Hidalgo County (part) , Non-Hispanic American Indian ,,,,
 48215c , Hidalgo County (part) , Non-Hispanic Asian ,5761,4280,,1481
 48215c , Hidalgo County (part) , Non-Hispanic black ,,,,
 48215c , Hidalgo County (part) , Non-Hispanic white ,24033,16328,2339,5366
 48215c , Hidalgo County (part) , Total ,462191,287803,28686,145702
 48439c , Tarrant County (part) , All other non-Hispanic ,20694,15714,,4358
 48439c , Tarrant County (part) , Latino ,329279,244314,10756,74209
 48439c , Tarrant County (part) , Non-Hispanic American Indian ,4628,3126,,1362
 48439c , Tarrant County (part) , Non-Hispanic Asian ,72225,53362,2542,16321
 48439c , Tarrant County (part) , Non-Hispanic black ,193665,144263,9522,39880
 48439c , Tarrant County (part) , Non-Hispanic white ,604448,462373,20897,121178
 48439c , Tarrant County (part) , Total ,1224939,923152,44479,257308
 48453c , Travis County (part) , All other non-Hispanic ,14394,10259,,3194
 48453c , Travis County (part) , Latino ,251870,192754,9507,49609
 48453c , Travis County (part) , Non-Hispanic American Indian ,848,,,
 48453c , Travis County (part) , Non-Hispanic Asian ,54153,40421,,12949
 48453c , Travis County (part) , Non-Hispanic black ,61633,45148,2563,13922
 48453c , Travis County (part) , Non-Hispanic white ,402250,323164,11862,67224
 48453c , Travis County (part) , Total ,785148,612243,25768,147137
 49035c , Salt Lake County (part) , All other non-Hispanic ,11704,8333,,2586
 49035c , Salt Lake County (part) , Latino ,114639,92826,2537,19276
 49035c , Salt Lake County (part) , Non-Hispanic American Indian ,5661,3561,,
 49035c , Salt Lake County (part) , Non-Hispanic Asian ,36477,27189,,8619
 49035c , Salt Lake County (part) , Non-Hispanic black ,12578,9988,,1635
 49035c , Salt Lake County (part) , Non-Hispanic white ,495819,384097,16074,95648
 49035c , Salt Lake County (part) , Total ,676878,525994,21923,128961
 49049c , Utah County (part) , All other non-Hispanic ,6581,4278,,1480
 49049c , Utah County (part) , Latino ,35898,28080,1193,6625
 49049c , Utah County (part) , Non-Hispanic American Indian ,1991,,,
 49049c , Utah County (part) , Non-Hispanic Asian ,9154,6824,,1840
 49049c , Utah County (part) , Non-Hispanic black ,,,,
 49049c , Utah County (part) , Non-Hispanic white ,264382,197101,6151,61130
 49049c , Utah County (part) , Total ,319372,238430,8657,72285
 51059c , Fairfax County (part) , All other non-Hispanic ,24022,17925,,5126
 51059c , Fairfax County (part) , Latino ,122228,102117,6041,14070
 51059c , Fairfax County (part) , Non-Hispanic American Indian ,,,,
 51059c , Fairfax County (part) , Non-Hispanic Asian ,149125,113880,5000,30245
 51059c , Fairfax County (part) , Non-Hispanic black ,67691,54789,3662,9240
 51059c , Fairfax County (part) , Non-Hispanic white ,376775,299286,12127,65362
 51059c , Fairfax County (part) , Total ,740508,588584,27881,124043
 53033a ," Seattle city, Washington ", All other non-Hispanic ,21574,16313,,4445
 53033a ," Seattle city, Washington ", Latino ,29595,23166,,5601
 53033a ," Seattle city, Washington ", Non-Hispanic American Indian ,2265,,,
 53033a ," Seattle city, Washington ", Non-Hispanic Asian ,73512,52640,2724,18148
 53033a ," Seattle city, Washington ", Non-Hispanic black ,31763,21036,3712,7015
 53033a ," Seattle city, Washington ", Non-Hispanic white ,329204,280594,9010,39600
 53033a ," Seattle city, Washington ", Total ,487913,395212,17174,75527
 53033b , Remainder - King County (part) , All other non-Hispanic ,28968,20510,1753,6705
 53033b , Remainder - King County (part) , Latino ,92774,71908,3601,17265
 53033b , Remainder - King County (part) , Non-Hispanic American Indian ,4889,3355,,1009
 53033b , Remainder - King County (part) , Non-Hispanic Asian ,180887,132258,6071,42558
 53033b , Remainder - King County (part) , Non-Hispanic black ,50289,37129,2851,10309
 53033b , Remainder - King County (part) , Non-Hispanic white ,541094,423287,18246,99561
 53033b , Remainder - King County (part) , Total ,898901,688447,33047,177407
 53053c , Pierce County (part) , All other non-Hispanic ,23068,16482,,5541
 53053c , Pierce County (part) , Latino ,46105,29151,3031,13923
 53053c , Pierce County (part) , Non-Hispanic American Indian ,5367,2491,,2085
 53053c , Pierce County (part) , Non-Hispanic Asian ,43004,28587,1688,12729
 53053c , Pierce County (part) , Non-Hispanic black ,38117,28468,2868,6781
 53053c , Pierce County (part) , Non-Hispanic white ,353778,246590,17132,90056
 53053c , Pierce County (part) , Total ,509439,351769,26555,131115
 53061c , Snohomish County (part) , All other non-Hispanic ,21644,16920,,3702
 53061c , Snohomish County (part) , Latino ,42890,34955,,6533
 53061c , Snohomish County (part) , Non-Hispanic American Indian ,3190,1583,,1607
 53061c , Snohomish County (part) , Non-Hispanic Asian ,53101,38008,2244,12849
 53061c , Snohomish County (part) , Non-Hispanic black ,13312,11135,,1664
 53061c , Snohomish County (part) , Non-Hispanic white ,353719,268454,13856,71409
 53061c , Snohomish County (part) , Total ,487856,371055,19037,97764
 55079a ," Milwaukee city, Wisconsin ", All other non-Hispanic ,6192,4794,,
 55079a ," Milwaukee city, Wisconsin ", Latino ,60573,41737,3040,15796
 55079a ," Milwaukee city, Wisconsin ", Non-Hispanic American Indian ,,,,
 55079a ," Milwaukee city, Wisconsin ", Non-Hispanic Asian ,11174,7929,,3076
 55079a ," Milwaukee city, Wisconsin ", Non-Hispanic black ,135976,82343,14683,38950
 55079a ," Milwaukee city, Wisconsin ", Non-Hispanic white ,115857,89338,4208,22311
 55079a ," Milwaukee city, Wisconsin ", Total ,330637,226463,22559,81615
 6001c , Alameda County (part) , All other non-Hispanic ,34697,25940,2188,6569
 6001c , Alameda County (part) , Latino ,230176,173063,8328,48785
 6001c , Alameda County (part) , Non-Hispanic American Indian ,3195,2068,,1103
 6001c , Alameda County (part) , Non-Hispanic Asian ,328266,239659,12132,76475
 6001c , Alameda County (part) , Non-Hispanic black ,116759,79802,8924,28033
 6001c , Alameda County (part) , Non-Hispanic white ,346408,272193,10418,63797
 6001c , Alameda County (part) , Total ,1059501,792725,42014,224762
 6013c , Contra Costa County (part) , All other non-Hispanic ,28279,19281,2281,6717
 6013c , Contra Costa County (part) , Latino ,175005,126861,9675,38469
 6013c , Contra Costa County (part) , Non-Hispanic American Indian ,1512,,,
 6013c , Contra Costa County (part) , Non-Hispanic Asian ,121270,87475,3839,29956
 6013c , Contra Costa County (part) , Non-Hispanic black ,61846,40302,6644,14900
 6013c , Contra Costa County (part) , Non-Hispanic white ,307550,231454,13640,62456
 6013c , Contra Costa County (part) , Total ,695462,506330,36225,152907
 6019c , Fresno County (part) , All other non-Hispanic ,10787,6550,,3617
 6019c , Fresno County (part) , Latino ,292857,195021,21367,76469
 6019c , Fresno County (part) , Non-Hispanic American Indian ,2276,1297,,930
 6019c , Fresno County (part) , Non-Hispanic Asian ,60722,36730,5982,18010
 6019c , Fresno County (part) , Non-Hispanic black ,27522,14557,3643,9322
 6019c , Fresno County (part) , Non-Hispanic white ,176292,120646,8412,47234
 6019c , Fresno County (part) , Total ,570456,374801,40073,155582
