FIPS, Name , Race ,Total,Employed,Unemployed,NILF
06037b," Los Angeles County (excluding Los Angeles), CA ", Non-Hispanic Asian ,673119,478422,25347,169350
06037b," Los Angeles County (excluding Los Angeles), CA ", Non-Hispanic black ,271524,178006,21548,71970
06037b," Los Angeles County (excluding Los Angeles), CA ", Non-Hispanic white ,993497,707058,48158,238281
06037b," Los Angeles County (excluding Los Angeles), CA ", Total ,3887800,2719710,198440,969650
06059c," Orange County, CA ", All other non-Hispanic ,45798,33246,2080,10472
06059c," Orange County, CA ", Latino ,675884,505047,31742,139095
06059c," Orange County, CA ", Non-Hispanic American Indian ,3247,1636,,1312
06059c," Orange County, CA ", Non-Hispanic Asian ,415708,287896,14419,113393
06059c," Orange County, CA ", Non-Hispanic black ,33716,25624,2105,5987
06059c," Orange County, CA ", Non-Hispanic white ,812638,613435,31486,167717
06059c," Orange County, CA ", Total ,1986991,1466884,82131,437976
06065c," Riverside County, CA ", All other non-Hispanic ,31257,19277,2359,9621
06065c," Riverside County, CA ", Latino ,678698,458425,46255,174018
06065c," Riverside County, CA ", Non-Hispanic American Indian ,7170,2935,1728,2507
06065c," Riverside County, CA ", Non-Hispanic Asian ,97823,60984,5052,31787
06065c," Riverside County, CA ", Non-Hispanic black ,85991,56236,8331,21424
06065c," Riverside County, CA ", Non-Hispanic white ,495789,321094,33199,141496
06065c," Riverside County, CA ", Total ,1396728,918951,96924,380853
06067c," Sacramento County, CA ", All other non-Hispanic ,38204,23782,3474,10948
06067c," Sacramento County, CA ", Latino ,202638,138613,13752,50273
06067c," Sacramento County, CA ", Non-Hispanic American Indian ,3560,2160,,
06067c," Sacramento County, CA ", Non-Hispanic Asian ,157463,108014,8748,40701
06067c," Sacramento County, CA ", Non-Hispanic black ,89523,53920,7118,28485
06067c," Sacramento County, CA ", Non-Hispanic white ,431875,306369,23067,102439
06067c," Sacramento County, CA ", Total ,923263,632858,56415,233990
06071c," San Bernardino County, CA ", All other non-Hispanic ,25563,18266,2145,5152
06071c," San Bernardino County, CA ", Latino ,657878,440208,43716,173954
06071c," San Bernardino County, CA ", Non-Hispanic American Indian ,3720,2123,,
06071c," San Bernardino County, CA ", Non-Hispanic Asian ,99609,68671,3074,27864
06071c," San Bernardino County, CA ", Non-Hispanic black ,93791,57243,9365,27183
06071c," San Bernardino County, CA ", Non-Hispanic white ,383951,256242,23585,104124
06071c," San Bernardino County, CA ", Total ,1264512,842753,82449,339310
06073c," San Diego County, CA ", All other non-Hispanic ,64523,41819,5873,16831
06073c," San Diego County, CA ", Latino ,670869,484860,36278,149731
06073c," San Diego County, CA ", Non-Hispanic American Indian ,6742,3298,,3088
06073c," San Diego County, CA ", Non-Hispanic Asian ,263902,190495,8900,64507
06073c," San Diego County, CA ", Non-Hispanic black ,95610,68488,7143,19979
06073c," San Diego County, CA ", Non-Hispanic white ,930466,686973,40604,202889
06073c," San Diego County, CA ", Total ,2032112,1475933,99154,457025
06075a," San Francisco, CA ", All other non-Hispanic ,19992,16006,,3445
06075a," San Francisco, CA ", Latino ,89857,72202,2303,15352
06075a," San Francisco, CA ", Non-Hispanic American Indian ,,,,
06075a," San Francisco, CA ", Non-Hispanic Asian ,205398,155101,10654,39643
06075a," San Francisco, CA ", Non-Hispanic black ,26478,13968,3194,9316
06075a," San Francisco, CA ", Non-Hispanic white ,261643,220196,8478,32969
06075a," San Francisco, CA ", Total ,604227,478263,25239,100725
06077c," San Joaquin County, CA ", All other non-Hispanic ,15311,9348,,4703
06077c," San Joaquin County, CA ", Latino ,167804,108822,14582,44400
06077c," San Joaquin County, CA ", Non-Hispanic American Indian ,,,,
06077c," San Joaquin County, CA ", Non-Hispanic Asian ,67822,40698,5449,21675
06077c," San Joaquin County, CA ", Non-Hispanic black ,30969,17804,2458,10707
06077c," San Joaquin County, CA ", Non-Hispanic white ,145332,101676,9055,34601
06077c," San Joaquin County, CA ", Total ,428380,279071,33043,116266
06081c," San Mateo County, CA ", All other non-Hispanic ,13729,10595,,2687
06081c," San Mateo County, CA ", Latino ,120923,92411,6513,21999
06081c," San Mateo County, CA ", Non-Hispanic American Indian ,,,,
06081c," San Mateo County, CA ", Non-Hispanic Asian ,149129,116011,6968,26150
06081c," San Mateo County, CA ", Non-Hispanic black ,11780,8248,,2232
06081c," San Mateo County, CA ", Non-Hispanic white ,186173,147761,6034,32378
06081c," San Mateo County, CA ", Total ,482346,375638,21262,85446
06085c," Santa Clara County, CA ", All other non-Hispanic ,31363,23446,1500,6417
06085c," Santa Clara County, CA ", Latino ,308026,233185,14561,60280
06085c," Santa Clara County, CA ", Non-Hispanic American Indian ,2061,,,
06085c," Santa Clara County, CA ", Non-Hispanic Asian ,449190,332387,18569,98234
06085c," Santa Clara County, CA ", Non-Hispanic black ,29317,22344,1899,5074
06085c," Santa Clara County, CA ", Non-Hispanic white ,392391,303226,15052,74113
06085c," Santa Clara County, CA ", Total ,1212348,916337,51581,244430
06099c," Stanislaus County, CA ", All other non-Hispanic ,7788,4414,,1965
06099c," Stanislaus County, CA ", Latino ,141040,90165,14197,36678
06099c," Stanislaus County, CA ", Non-Hispanic American Indian ,1555,,,
06099c," Stanislaus County, CA ", Non-Hispanic Asian ,21701,14350,1225,6126
06099c," Stanislaus County, CA ", Non-Hispanic black ,8627,5575,,2200
